Date,Open,High,Low,Close,Volume
2022-09-05,91.71,91.79,92.08,92.09,3682
2022-09-06,92.54,93.02,91.67,92.11,1987
2022-09-07,93.65,94.74,92.88,93.56,4612
2022-09-08,94.39,93.36,92.53,93.29,4720
2022-09-09,95.61,97.39,94.9,96.01,2218
2022-09-12,96.22,97.61,95.75,96.64,1920
2022-09-13,95.48,96.38,95.65,95.78,3785
2022-09-14,93.65,95.83,93.72,94.71,2355
2022-09-15,94.93,97.13,94.09,95.19,1169
2022-09-16,94.59,95.86,93.89,94.97,1520
2022-09-19,95.76,96.61,94.34,95.69,2486
2022-09-20,96.33,96.73,94.94,96.16,1039
2022-09-21,97.02,96.46,95.06,96.09,2560
2022-09-22,95.71,96.45,94.47,95.24,4332
2022-09-23,93.44,94.1,93.75,93.72,2418
2022-09-26,92.83,94.11,92.26,93.28,1954
2022-09-27,94.38,94.7,93.23,94.13,4297
2022-09-28,93.69,95.39,93.41,94.35,1983
2022-09-29,94.02,94.07,92.94,93.1,4195
2022-09-30,93.87,94.59,93.02,93.28,1974
2022-10-03,93.43,94.21,92.33,93.66,1037
2022-10-04,91.92,93.44,92.0,92.78,3375
2022-10-05,93.61,93.24,91.79,92.93,2274
2022-10-06,92.93,93.57,92.17,92.99,4972
2022-10-07,92.46,92.83,91.03,91.85,2199
